Key,English,French,schinese

mjItemSKSelector,"Kit Booklet","Livret de Kit","套件手册"
mjItemSKSelectorDesc,"Use this book as an ingredient to collect (craft) your starter kit.","Utilisez ce livre comme ingrédient pour récupérer (fabriquer) votre kit de départ.","使用这本书作为收集（制作）你的入门套件的材料"
mjItemSKBasic,"Survival Kit (Standard)","Kit de survie (Standard)","生存工具包（标准）"
mjItemSKBasicDesc,"The list of material added by this kit:\nResources: Small Stone, Wood, Plant Fibers and Repair Kit\nWeapons: Stun Baton, Compound Bow and Pistol\nAmmo: Iron Arrow, 9mm and Gas Can\nArmor: Assassin Outfit\nMod: Helmet Light Mod\nMedic: Antibiotics, First Aid Kit and First Aid Bandage\nFood: Steak and Potato Meal and Meat Stew\nDrink: Yucca Juice Smoothie and Coffee\nCash: Duke's Casino Token\nVehicle : Bicycle\nBonus : Paint Brush","La liste de matériel ajouté par ce kit :\nRessources : Petite pierre, Bois, Fibres végétales et Kit de réparation\nArmes : Matraque électrique, Arc à poulies et Pistolet\nMunitions : Flèche en fer, cal. 9 mm et Bidon d'essence\nArmures : Tenue d'assassin\nModules : Modification de lampe de casque\nMédicales : Antibiotiques, Trousse de premiers soins et Bandage médical\nNourritures : Steak-frites et Ragoût de viande\nBoissons : Smoothie au jus de yucca et Café\nMonnaie : Jeton du Duke's Casino\nVéhicule : Bicyclette\nBonus : Pinceau","此套件添加的材料清单:\n资源：小石头、木材、植物纤维和修理工具包\n武器：电击棍、复合弓和手枪\n弹药：铁箭、9 毫米口径手枪和煤气罐\n护甲：刺客装备\n改装件：头盔灯改装件\n医疗用品：抗生素、急救包和急救绷带\n食物：牛排土豆粉和炖肉\n饮料：丝兰汁冰沙和咖啡\n现金：公爵赌场代币\n交通工具：自行车\n奖励：油漆刷"
mjBlockSKBasicLocked,"Sealed Survivor Bag (Standard)","Sac du Survivant (Standard) fermée","密封求生包（标准）"
mjBlockSKBasicLockedDesc,"A starter bag.","Un sac de départ.","入门包"
mjBlockSKBasic,"Survivor Bag","Sac du Survivant","幸存者包"
mjBlockSKBasicDesc,"A starter bag.","Un sac de départ.","入门包"

mjItemSKAssassin,"Survival Kit (Assassin)","Kit de survie (Assassin)","生存工具包（刺客）"
mjItemSKAssassinDesc,"The list of material added by this kit:\nResources: Small Stone, Wood, Plant Fibers and Repair Kit\nWeapons: Hunting Knife and Pistol\nAmmo: 9mm\nArmor: Assassin Outfit\nMod: Night Vision Mod and Silencer Mod\nMedic: First Aid Bandage\nFood: Steak and Potato Meal and Meat Stew\nDrink: Pure Mineral Water and Coffee\nCash: Duke's Casino Token","La liste de matériel ajouté par ce kit :\nRessources : Petite pierre, Bois, Fibres végétales et Kit de réparation\nArmes : Couteau de chasse et Pistolet\nMunitions : cal. 9 mm\nArmures : Tenue d'assassin\nModules : Vision nocturne et Silencieux\nMédicales : Bandage médical\nNourritures : Steak-frites et Ragoût de viande\nBoissons : Eau minérale pure et Café\nMonnaie : Jeton du Duke's Casino","此套件添加的材料清单:\n资源：小石头、木材、植物纤维和修理工具包\n武器：猎刀和手枪\n弹药：9 毫米\n护甲：刺客装备\n改装：夜視和消音器\n医疗：急救绷带\n食物：牛排土豆粉和炖肉\n饮料：纯矿泉水和咖啡\n现金：公爵赌场代币"
mjBlockSKAssassinLocked,"Sealed Survivor Bag (Assassin)","Sac du Survivant (Assassin) fermée","密封的幸存者包（刺客）"
mjBlockSKAssassinLockedDesc,"A starter bag.","Un sac de départ.","入门包"
mjBlockSKAssassin,"Survivor Bag","Sac du Survivant","幸存者包"
mjBlockSKAssassinDesc,"A starter bag.","Un sac de départ.","入门包"

mjItemSKAthletic,"Survival Kit (Athletic)","Kit de survie (Athlète)","生存工具包（运动）"
mjItemSKAthleticDesc,"The list of material added by this kit:\nResources: Small Stone, Wood, Plant Fibers and Repair Kit\nWeapons: Baseball Bat and Pistol\nAmmo: 9mm\nArmor: Athletic Outfit\nMod: Helmet Light Mod\nMedic: First Aid Bandage\nFood: Steak and Potato Meal and Meat Stew\nDrink: Pure Mineral Water and Coffee\nCash: Duke's Casino Token\nVehicle: Bicycle","La liste de matériel ajouté par ce kit :\nRessources : Petite pierre, Bois, Fibres végétales et Kit de réparation\nArmes : Batte de baseball et Pistolet\nMunitions : cal. 9 mm\nArmures : Tenue d'athlète\nModules : Modification de lampe de casque\nMédicales : Bandage médical\nNourritures : Steak-frites et Ragoût de viande\nBoissons : Eau minérale pure et Café\nMonnaie : Jeton du Duke's Casino\nVéhicule : Bicyclette","此套件添加的材料清单:\n资源：小石头、木材、植物纤维和修理工具包\n武器：棒球棒和手枪\n弹药：9mm\n护甲：运动装备\n改装：头盔灯改装\n医疗：急救绷带\n食物：牛排土豆饭和炖肉\n饮料：纯矿泉水和咖啡\n现金：公爵赌场币\n交通工具：自行车"
mjBlockSKAthleticLocked,"Sealed Survivor Bag (Athletic)","Sac du Survivant (Athlète) fermée","密封求生包（运动型）"
mjBlockSKAthleticLockedDesc,"A starter bag.","Un sac de départ.","入门包"
mjBlockSKAthletic,"Survivor Bag","Sac du Survivant","幸存者包"
mjBlockSKAthleticDesc,"A starter bag.","Un sac de départ.","入门包"

mjItemSKBiker,"Survival Kit (Biker)","Kit de survie (Motard)","生存工具包（摩托车手）"
